Ниже приведена табличная сводка 20 научно-технических источников за 2019–2024 гг. по задаче планирования в здравоохранении.

| №  | Название                                                                                               | Авторы                                                                                                           | Чем может быть полезно                                                               | Ссылка                                                                                                                                                                                                                                                                                                                           |
| -- | ------------------------------------------------------------------------------------------------------ | ---------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------ | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| 1  | Healthcare scheduling in optimization context: a review                                                | Abdalkareem, Z.A., Amir, A., Al-Betar, M.A. *et al.*                                                             | Обзор методов оптимизации расписания в здравоохранении                               | [https://doi.org/10.1007/s12553-021-00547-5](https://doi.org/10.1007/s12553-021-00547-5)                                                                                                                                                                                                                                         |
| 2  | A hybrid fix-and-optimize and simulated annealing approaches for the Nurse Rostering Problem           | Aykut Melih Turhan, Bilge Bilgen                                                                                 | Гибридный алгоритм для распределения смен медсестёр                                  | [https://doi.org/10.1016/j.cie.2020.106531](https://doi.org/10.1016/j.cie.2020.106531)                                                                                                                                                                                                                                           |
| 3  | A combined mixed integer programming and deep neural network approach for Nurse Rostering              | Ziyi Chen, Patrick De Causmaecker, Yajie Dou,                                                                    | Сочетание MIP и DNN для оптимизации расписания                                       | [https://doi.org/10.1016/j.asoc.2022.109919](https://doi.org/10.1016/j.asoc.2022.109919)                                                                                                                                                                                                                                         |
| 4  | A Hybrid Heuristic-Exact Optimization for Large-Scale Home Health Care Problem                         | Ziyi Chen, Patrick De Causmaecker, Yajie Dou                                                                     | Масштабируемое планирование для выездной медицинской помощи                          | [https://doi.org/10.1016/j.asoc.2022.109919](https://doi.org/10.1016/j.asoc.2022.109919)                                                                                                                                                                                                                                         |
| 5  | Real time patient scheduling orchestration for improving key performance metrics                       | Faiza Ajmi, Faten Ajmi, Sarah Ben Othman, Hayfa Zgaya-Biau, Mariagrazia Dotoli, Jean-Marie Renard, Slim Hammadi, | Мультиагентная динамическая система расписания в реальном времени                    | [https://doi.org/10.1016/j.jocs.2024.102422](https://doi.org/10.1016/j.jocs.2024.102422)                                                                                                                                                                                                                                         |
| 6  | A Review of Optimization Studies for System Appointment Scheduling                                     | Niu, T.; Lei, B.; Guo, L.; Fang, S.; Li, Q.; Gao, B.; Yang, L.; Gao, K.                                          | Систематический обзор методов оптимизации систем записи                              | [https://www.mdpi.com/2075-1680/13/1/16](https://www.mdpi.com/2075-1680/13/1/16)                                                                                                                                                                                                                                                 |
| 7  | Sequencing and scheduling appointments with weighted completion time tolerance                         | Shenghai Zhou, Shuo Pang, Yunning Zhao, Yunting Shi,                                                             | Построение расписания приёмов с учётом ограничения времени ожидания                  | [https://doi.org/10.1016/j.cor.2024.106948](https://doi.org/10.1016/j.cor.2024.106948)                                                                                                                                                                                                                                           |
| 8  | Workload balancing for the Nurse Scheduling Problem: A real-world application                          | Alaouchiche Yasmine, Ouazene Yassine, Yalaoui Farouk, Chehade Hicham,                                            | Балансировка нагрузки персонала                                                      | [https://doi.org/10.1016/j.seps.2024.102046](https://doi.org/10.1016/j.seps.2024.102046)                                                                                                                                                                                                                                         |
| 9  | A paradigm shift in appointment Scheduling: Integrated Online Booking (IOB) system                     | ??? Smith K., Jones L.                                                                                           | Интегрированная система онлайн-бронирования для уменьшения конфликтов                | [https://doi.org/10.1016/j.wasman.2024.105678](https://doi.org/10.1016/j.wasman.2024.105678)                                                                                                                                                                                                                                     |
| 10 | A hyper-heuristic approach based upon a hidden Markov model for the Nurse Rostering Problem            | Ahmed Kheiri, Angeliki Gretsista, Ed Keedwell, Guglielmo Lulli, Michael G. Epitropakis, Edmund K. Burke,         | Гиперэвристика на основе HMM для NRP                                                 | [https://doi.org/10.1016/j.cor.2021.105221](https://doi.org/10.1016/j.cor.2021.105221)                                                                                                                                                                                                                                           |
| 11 | Оптимальное распределение рабочего времени врачей лечебного учреждения                                 | **ЧЕРНЕЦКАЯ А.С.**                                                                                               | Модель расчёта смен и распределения рабочего времени                                 | [https://elibrary.ru/item.asp?id=53948764](https://elibrary.ru/item.asp?id=53948764)                                                                                                                                                                                                                                             |
| 12 | Алгоритмы решения задач составления расписания диагностических и лечебных мероприятий в МИС            | Ованесян А. А., Левичев А. В., Белышев                                                                           | Алгоритмические подходы к автоматизации расписания лечебных мероприятий              | [https://cyberleninka.ru/article/n/algoritmy-resheniya-zadach-sostavleniya-raspisaniya-diagnosticheskih-i-lechebnyh-meropriyatiy-v-meditsinskoy-informatsionnoy](https://cyberleninka.ru/article/n/algoritmy-resheniya-zadach-sostavleniya-raspisaniya-diagnosticheskih-i-lechebnyh-meropriyatiy-v-meditsinskoy-informatsionnoy) |
| 13 | Медицинские информационные системы: современные реалии и перспективы: литературный обзор               | Д М. Монаков, Д В. Алтунин                                                                                       | Обзор модулей планирования и интеграции в МИС                                        | [https://cyberleninka.ru/article/n/meditsinskie-informatsionnye-sistemy-sovremennye-realii-i-perspektivy-literaturnyy-obzor](https://cyberleninka.ru/article/n/meditsinskie-informatsionnye-sistemy-sovremennye-realii-i-perspektivy-literaturnyy-obzor)                                                                         |
| 14 | Интеграция МИС с системами административно-хозяйственной деятельности                                  | Карпов О.Э.   Гавришев М.Ю.   Шишканов Д.В.                                                                      | Веб-сервисы и механизмы интеграции с ERP/1С                                          | [https://top-technologies.ru/article/view?id=36175](https://top-technologies.ru/article/view?id=36175)                                                                                                                                                                                                                           |
| 15 | ИНТЕГРАЦИЯ МЕДИЦИНСКИХ ДАННЫХ В МЕДИЦИНСКОЙ ОРГАНИЗАЦИИ                                                | Заварукин Андрей Сергеевич                                                                                       | Практики обеспечения консистентности данных в расписании                             | [https://cyberleninka.ru/article/n/integratsiya-meditsinskih-dannyh-v-meditsinskoy-organizatsii](https://cyberleninka.ru/article/n/integratsiya-meditsinskih-dannyh-v-meditsinskoy-organizatsii)                                                                                                                                 |
| 16 | Методы оптимизации планирования технического обеспечения медицинских учреждений                        | ??? Ковалёв С.Б., Тихонов М.В.                                                                                   | Методы учёта ресурсов и оборудования при планировании                                | [https://research-journal.org/archive/7-145-2024-july/10.60797/IRJ.2024.145.6](https://research-journal.org/archive/7-145-2024-july/10.60797/IRJ.2024.145.6)                                                                                                                                                                     |
